0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
The food was good, I quit going there because I usually got the KFC chicken ,never out of chicken,,,,,,,,,,,,,,,,,
This is a terrible Taco Bell they couldn't get my order right I ordered a number six with chicken that's a chalupa  combo how ever I ended up with a steal,quesadilla with steak a protein I don't eat,,,,,,,,,,,,,,,,,,
My food was nice,,,,,,,,,,,,,,,,,,,
I will be driving further out of my way next time I go to a taco Bell,,,,,,,,,,,,,,,,,,,
and the food is fresh,,,,,,,,,,,,,,,,,,,
The food is okay,but the tacos are never stuffed full,,,,,,,,,,,,,,,,,,
I doubt anyone eats here actually depending on enjoying the food anyway,"I almost put two stars but then I remember I paid $8 for a horribly put together ""Mexican pizza"" and two surpreme tacos which is insane",,,,,,,,,,,,,,,,,,
I have come here more than 10x to pick up my food,you need to order your food off that app from now on,Your food will either be ready,3) Walk out/Drive out and head home to enjoy your food,etc however the app really eliminated any discrepancies and allowed me to expand my order and tailor my food to my liking,extra cheese,,,,,,,,,,,,,,
 This food is horrible,I finally got my food,The only reason I eat at this place is because it tastes good,,,,,,,,,,,,,,,,,
34 worth of food via the online system around 12:15 A,,,,,,,,,,,,,,,,,,,
I ordered the shredded chicken mini quesadilla ,with melted cheese ,,,,,,,,,,,,,,,,,,
Attempt 1: came here around 8pm to try the nacho fries only to find out they're out of the nacho cheese -__- ,The nacho cheese was a good,The inside tasted like mashed potatoes,,,,,,,,,,,,,,,,,
Look I know this was a lot of bitching and complaining for a $5 box of food ,but in the long run I still paid money for specific food that I did not get so I am not happy,I don't like ranch or sour cream but I never eat the burrito so The only,Since I don't eat the burrito,the only thing I could eat was the hard taco,,,,,,,,,,,,,,,
Went hear and the food we received was unacceptable,,,,,,,,,,,,,,,,,,,
 One noticeable difference is that multiple people here speak english and the food is actually prepared, Save your money and hit up another fast-food resturant,,,,,,,,,,,,,,,,,,
very clean and great service / food,,,,,,,,,,,,,,,,,,,
Don't order online if you want the food you actually ordered,the quality of the food is fine,,,,,,,,,,,,,,,,,,
but I am anything but an affected foodie,waiting in line for my seven layer burrito , Do I need that level of customer service to buy a burrito,be it tacos or a hotel room or overpriced cable TV, Yelpers have somehow managed to circumvent the mean-spirted and vapid state that has permeated so many,at the corner of Bethel ,,,,,,,,,,,,,,
Worst Taco Bell slow service and rude customer service glad chipotle is open,,,,,,,,,,,,,,,,,,,
I am also a sucker for every new promotional food item TB comes out with,,,,,,,,,,,,,,,,,,,
The food is pretty much,,,,,,,,,,,,,,,,,,,
I mean the tacos,,,,,,,,,,,,,,,,,,,
They have the cheapest prices of any Taco Bell,,,,,,,,,,,,,,,,,,,
she comes to window with the food,I ordered 1 meal and two tacos,states to talk to someone about experience call 1-800-taco-bell,,,,,,,,,,,,,,,,,
food was as good,,,,,,,,,,,,,,,,,,,
We ordered and after 30 minutes our food still was not ready,,,,,,,,,,,,,,,,,,,
I go here all the time but that's solely because I love Taco Bell's food ,this Taco Bell seems more akin to a prison cafeteria where the prisoners are forced to prepare the food,Every employee here seriously looks one burrito away from shooting up the place ,as long as you continue to put crack in your taco's I'll be back to get my fix,,,,,,,,,,,,,,,,
And for the price,,,,,,,,,,,,,,,,,,,
""" I didn't know if my food was going to be safe",There's nothing like LYSOL covered tacos in the morning,I think it's great for the price,and sanitary so we decided best to go across the street to steak ,and not a cheeseburger in calories,,,,,,,,,,,,,,,
The food is cheap,but poor quality,,,,,,,,,,,,,,,,,,
you might be worse off after you vomit due to the food not agreeing with your stomach,barely gives you any meat (wrong,,,,,,,,,,,,,,,,,,
 Just handed us the food,,,,,,,,,,,,,,,,,,,
Order was wrong like way wrong on top of that my food looked like my 7 year old,,,,,,,,,,,,,,,,,,,
Also they don't put enough ingredients in their food,It seems they don't change oil often and that causes stale and sticky taco shell,,,,,,,,,,,,,,,,,,
Hey if you want to get food poisoning here ,and have them serve you beef when you are allergic to beef and order chicken,,,,,,,,,,,,,,,,,,
they know the proper way to make a Mexi-melt (not too much meat,a healthy balance of cheese,,,,,,,,,,,,,,,,,,
They got my order out pretty fast on a Friday night and all the food tasted good,,,,,,,,,,,,,,,,,,,
Nacho Doritos taco & they ALWAYS have STALE shells,,,,,,,,,,,,,,,,,,,
i highly recommend the beefy Fritos burrito,,,,,,,,,,,,,,,,,,,
 The food was fresh,burrito, $8 for a taco,sides of sour cream , and delicious,,,,,,,,,,,,,,,
but there are four people here waiting for food,,,,,,,,,,,,,,,,,,,
So I finally get my food ,,,,,,,,,,,,,,,,,,,
burrito supreme ,and a taco supreme,onions and a chunky type of salsa,This enchirito had meat,What I'm used to is a cheese enchilada,with gobs of cheese (no complaints on the blanket of cheese on top of the sauce) instead of a smooth,It just doesnt taste the same,,,,,,,,,,,,,
The food here is usually decent, It seems that going through the drive thru and going inside usually take the same amount of time to get you your food ( FOREVER),Fast food is suppose,,,,,,,,,,,,,,,,,
The food is exactly what you pay for - ,but occasionally I have a craving for a quick and crappy crunchy taco ,,,,,,,,,,,,,,,,,,
But you mostly come for the food,Rn there's a $5 steak nacho,very little steak ,I think u should wait for steak,the steak shouldn't be waiting for u,the nachos tasted dated),,,,,,,,,,,,,,
I love taco Bell breakfast,,,,,,,,,,,,,,,,,,,
Ordered two chicken grilled stuffd burritos in the drive thru,At the office I started to eat only to find whoever made my chicken burritos seemed to overlook the small,My coworker laughed until he sliced open and dissected his burrito to find,and obvious absence of chicken in what should have been a chicken burrito,and rice , step of adding chicken in the assembly,but not one shred of chicken,beans,Plenty of sour cream,,,,,,,,,,,
Just ordered 8 soft taco SUPREMES with beans ,and no meat at the drive through, Got home and had no tomato and no sour cream on any of them,,,,,,,,,,,,,,,,,
the food here is most likely,if they seasoned the food there even a little,sat and pepper available for seasoning the food,The only other thing that comes to mind that is food related is that the bean,but that is just me since I like my beans whole,The meat sits under lamps or in heaters of some kind,,,,,,,,,,,,,,
This Taco Bell is always slow on getting out your food ,,,,,,,,,,,,,,,,,,,
Ordered my food at 9:49pm,he had been waiting for his food for about 20 minutes,I work in the food industry too ,not once did he check up on my food,"I'm cussing at them and I let them know: ""give me a f-ing refund or give me my f-ing food",,,,,,,,,,,,,,,
Ordered steak gorditas,,,,,,,,,,,,,,,,,,,
" It's infuriating waiting 20 minutes for the 3 cars ahead of you to get their ""fast"" food",what could possibly take so long to make 3 tacos, Are they grinding the corn for the tortillas,,,,,,,,,,,,,,,,,
Slowest Taco Bell ever and everything I ever get here is made so sloppy it's almost inedible unless I get a fork or spoon but that's just not how I'd like to eat my burrito,,,,,,,,,,,,,,,,,,,
just your basic needs like good food,,,,,,,,,,,,,,,,,,,
Can't imagine the food will be right ,then gave me full refund with food,,,,,,,,,,,,,,,,,,
Took me 20 minutes to get tacos,,,,,,,,,,,,,,,,,,,
Even the varsity has better food,Steak and shake is across the street and has real food,,,,,,,,,,,,,,,,,,
Haven't had to wait long for food,,,,,,,,,,,,,,,,,,,
waited half hour [+] for our food that is generous,we order a double beef taco burrito,2 nacho dorito tacos,and a chicken quesadilla ,,,,,,,,,,,,,,,,
A minute later they just throw you your food ,I give an additional star because the food has always been good,oh and let's not forget the only thing you ordered was 2 mini chicken quesadilla ,Enough time to drive around the corner ,,,,,,,,,,,,,,,,
I am a huge fan of their Verde salsa,,,,,,,,,,,,,,,,,,,
the food is what I expect from a Taco Bell,Getting food here is hell at lunchtime,,,,,,,,,,,,,,,,,,
The worst Taco Bell I've been to the five layer burrito was five layer burrito no meat more bread,no beans more bread,,,,,,,,,,,,,,,,,,
This is not the first time I've gotten bad service and food,My Doritos taco was soggy,My chalupa was stale and filled with both chicken ,,,,,,,,,,,,,,,,,
They started charging extra to substitute beans for the meat as of 12/27/2013,,,,,,,,,,,,,,,,,,,
The food is always hot,I have gotten the sausage burrito ,,,,,,,,,,,,,,,,,,
so after waiting 15+ minutes for your food 95% of the time it is terribly terribly wrong,I ordered a bean and cheese burrito,And somehow ended up with a chipotle ranch and nacho cheese burrito,,,,,,,,,,,,,,,,,
When I pulled up to the window I see this creepy employee just grab some food from the kitchen ,,,,,,,,,,,,,,,,,,,
Paid for extra sauce and wasn't on any of the food,Messed up every taco was incorrect,,,,,,,,,,,,,,,,,,
I could have went into market basket next door and made my self tacos at home by now,,,,,,,,,,,,,,,,,,,
How hard is it to omit lettuce from one box and tomatoes & sour cream from another,,,,,,,,,,,,,,,,,,,
Great prices for yummy food ,,,,,,,,,,,,,,,,,,,
Weird I didn't know making a taco took 20+ minutes,,,,,,,,,,,,,,,,,,,
They refused and said we had to wait in the line again to get our food,We went around and asked the car at the window if they could get us the food for us,Literally took our money and didnt give us our food,,,,,,,,,,,,,,,,,
I got a spicy tostada fresco style and a grilled 7 layer burrito fresco,There were four things wrong with the burrito,guacamole was added for some reason,They got the tostada right but it only came with four bits of diced tomatoes actually on the tostada and  there were about ten bits on the cardboard box along with some lettuce strewn off to the side,there was no lettuce 4,,,,,,,,,,,,,,,
waiting over 30 mins for my food in Drive-thru ,,,,,,,,,,,,,,,,,,,
pretty run down and not the greatest food,some regular tacos,( I refuse to call that salsa,,,,,,,,,,,,,,,,,
If you go through the drive thru make sure they give you all of your food before you drive away,Also their burritos are so much,they've consistently forgot 1 taco every time I have gone through or been in another car going through,thinner than almost any Taco Bell I have ever been to- I understand it's cheap fast food but at least give me my dollars worth of fake beans,,,,,,,,,,,,,,,,
so our food came out quick,this Taco Bell gets 2 stars because although their food is usually just like any other,so all I ordered was two crunchy tacos,and I finally started to eat my first taco , The beef inside the taco was warm,but I really did not enjoy the taco shell,my second taco's shell was crunchy,,,,,,,,,,,,,
I ordered the new cantina double steak quesadilla ,It was cut into only 3 pieces and only one piece had steak in it,,,,,,,,,,,,,,,,,,
Grab a couple of tacos or maybe a burrito with all the stuff and go back to your life occasionally this is a junk food I want ,It is going taste the same,,,,,,,,,,,,,,,,,,
 The man at the window when we got our food looked high, Paid for the food,,,,,,,,,,,,,,,,,,
Been waiting in the drive through line for the past 40 minutes and still haven't gotten food,"This place is the polar opposite of ""fast"" food",Seriously all we ordered was 2 hard shell tacos,,,,,,,,,,,,,,,,,
the food was ready,,,,,,,,,,,,,,,,,,,
very clean and great service / food,,,,,,,,,,,,,,,,,,,
com/food/menuitem/Cheese-Roll-Up,I'll get a burrito from the drive-thru,[http://www.tacobell,It's basically a tortilla with cheese,a tortilla with cheese,and get a pack of tortillas and a pack of cheese for less than you paid for two Cheese,And it tasted like,,,,,,,,,,,,,
I ordered my food ,,,,,,,,,,,,,,,,,,,
My taco shell was crispy,The prices are really reasonable,The meat quality was excellent,,,,,,,,,,,,,,,,,
it's cheap delicious tacos what do you expect,,,,,,,,,,,,,,,,,,,
The past three times I've come here in the past twice months the food has been great,,,,,,,,,,,,,,,,,,,
I came in to the drive thru and ordered some tacos,I ordered hard tacos ,,,,,,,,,,,,,,,,,,
Had to ask for the rest of my food again,ordered chicken quesadilla ,and got just cheese,,,,,,,,,,,,,,,,,
Came in with my kids and there was only one person in front of us already waiting for his food,,,,,,,,,,,,,,,,,,,
and the food came out pretty quickly as well,,,,,,,,,,,,,,,,,,,
half bean burritos ,and half soft tacos,FYI: I think the Bell needs to bring back the cinnamon chips of my childhood,,,,,,,,,,,,,,,,,
not like my food was done,She gave us the food *3 mins later* ,having edible food isn't all that's gonna keep you guys in business, The cheese was barley melted in our quesadilla,,,,,,,,,,,,,,,,
So then he comes back to me and I told him what I want and he asked steak or chicken and then tells me crazy price,"but can do steak and chicken""",Next thing he looks at this older couple next to me and is all nice when he offers to replace their beef with steak or chicken,"I questioned it and he says ""there is an up charge for the steak""",,,,,,,,,,,,,,,,
Went one night ordered two $5 dollar box w the burrito,taco etc,,,,,,,,,,,,,,,,,,
 I realize that this review is focused towards the one person I encountered in my visit  but the food surpassed my expectations,He was incredibly professional and made me and my family feel comfortable about their quality of freshness that we stopped by even though it was late,,,,,,,,,,,,,,,,,,
tasty tacos to be served to you expediently, I went with the 3 crunchy tacos, It took 17 minutes from the time I ordered (I checked the time stamp on my receipt) for me to get 3 crunchy tacos, Everything tasted,,,,,,,,,,,,,,,,
She handlers a while line of cars perfectly and for that I thank her for my burritos,,,,,,,,,,,,,,,,,,,
I opt for the powerbowl no meat,,,,,,,,,,,,,,,,,,,
If you like the worst stalky hard chunks of lettuce being the primary ingredient and little to no cheese even if you pay for extra for it in your Taco Bell then this is the location for you,All the employees seem to be trained to make everything 80% lettuce stalks and 2% cheese,Even if you ask for light lettuce and extra cheese,It almost seems like the place is solely there to push out the most undesirable garbage stalk ends of lettuce,,,,,,,,,,,,,,,,
I also realized that they were missing a burrito ,,,,,,,,,,,,,,,,,,,
Was excited because there are not any other Taco Bell's in the area & I ever so often need my taco-fix,while waiting for my taco,,,,,,,,,,,,,,,,,,
the food was fresh,,,,,,,,,,,,,,,,,,,
I still go there despite the torturous wait because I like the food,,,,,,,,,,,,,,,,,,,
but you are still paying the same price,It is the quality that is really lacking,,,,,,,,,,,,,,,,,,
I've also been there when they've been out of chicken,What kind of Taco Bell runs out of chicken,,,,,,,,,,,,,,,,,,
The food was good,The employees would say your name when your food was ready,,,,,,,,,,,,,,,,,,
All i can say is that the food here at this Taco Bell is horrible,,,,,,,,,,,,,,,,,,,
Ordered our food ,,,,,,,,,,,,,,,,,,,
I go there for late night food,,,,,,,,,,,,,,,,,,,
Ordered two bean and cheese burritos with no onions ,,,,,,,,,,,,,,,,,,,
Fast food my ass,Waiting 15 minutes and counting for some tacos ,,,,,,,,,,,,,,,,,,
I waited 15 minutes for my food ,,,,,,,,,,,,,,,,,,,
Fast food chain franchises are only successful,They also usually leave some ingredients out of the burritos,Most of the tables caked with cheese ,,,,,,,,,,,,,,,,,
 Every now and again I get to jonesing for some Nachos that are drenched in 'cheese' sauce ,,,,,,,,,,,,,,,,,,,
My food tasted horrible,The taco shell had this awful, chemical taste to it,,,,,,,,,,,,,,,,,
Told me my sauce was in the bag but it wasn't and my chicken chalupa was missing ,,,,,,,,,,,,,,,,,,,
pay $4 and wait for 30 minutes for a half full burrito,,,,,,,,,,,,,,,,,,,
I went there recently and the food was ok as it usually is,I probably won't get food here again,,,,,,,,,,,,,,,,,,
Granted the food IS Taco Bell,so it wasn't exceptionally delicious ,,,,,,,,,,,,,,,,,,
I complained to the staff and manager about the wait because this was the 5th time I'd had to wait over 20 minutes for my food at this location,They told me to come back tomorrow from 1:00pm to 5:00pm to get free food,I told them I'm not complaining to get anything I'm just pissed because the whole reason anyone comes to Taco Bell is because it's meant to take 5 min to get your food ,They got pissed at me and passive aggressively tossed my food on the counter,cheesy Gordita crunch and a Doritos locos taco,,,,,,,,,,,,,,,
food,and our food was thrown out the window along with gross,,,,,,,,,,,,,,,,,,
just substitute meat for beans,,,,,,,,,,,,,,,,,,,
They are always slow as hell with getting your food together,Don't really like this taco Bell,3 packs of sauce for 6 tacos,,,,,,,,,,,,,,,,,
Good food,,,,,,,,,,,,,,,,,,,
When we checked our food everything thing was wrong,,,,,,,,,,,,,,,,,,,
The last night we went again around 11pm and ordered our food,I explained that I did not have any cash and he told me that he was sorry I could not pay with my card or have my food,l and still wasn't able to get my food,,,,,,,,,,,,,,,,,
  Wait for food was way too long for taco bell, And then the girl tells me they are out of chips (on a prev,,,,,,,,,,,,,,,,,,
Disgusting food ,and let me tell you the wawas quesadillas are way better quality,,,,,,,,,,,,,,,,,,
Then today I ordered 4 crunchy taco supremes ,,,,,,,,,,,,,,,,,,,
is very well priced,,,,,,,,,,,,,,,,,,,
Watch out for the unwritten price list, I placed my order of an item with the price clearly listed, The manager only shrugged and refused to honor the listed price,,,,,,,,,,,,,,,,,
to charge close to or sometimes over $10 for the garbage they pass off as food,,,,,,,,,,,,,,,,,,,
During this day a employee helped a choking child :) and the food was amazing the sweet,,,,,,,,,,,,,,,,,,,
the foods consistently good,,,,,,,,,,,,,,,,,,,
and we were waiting for the food,,,,,,,,,,,,,,,,,,,
it doesn't make sense why this Taco Bell is closed for 30 minutes either I need my refunds back or something free I am waiting in the front of Taco Bell why this food that they gave me is getting cold,and I need my food that I ordered I am really f,i be back in morning this shit maybe food too,,,,,,,,,,,,,,,,,
I ordered a crunch wrap with no lettuce and got lettuce and they forgot a burrito ,and the best part was that there was a hair in my wife's pintos and cheese # boycot,,,,,,,,,,,,,,,,,,
I had ordered food before this incident happened ,My friend got a refund and his food ,All I wanted was a $5 craving and a steak quesarito ,,,,,,,,,,,,,,,,,
(Be warned of the traffic during peak shopping hours) The staff appears to be different every time but I've never had an issue with my food other,A chalupa is essentially a fried taco shell ,TB isn't your hole in the wall cantina but it'll pass whenever you're craving a quick fix for some tacos,,,,,,,,,,,,,,,,,
cashier can't do simple math and unwilling to substitute more rice for ,did rice become a precious,cheese ,when removing sour cream,and lettuce,,,,,,,,,,,,,,,
Slowest service in the history of food service,Was in line for 45 minutes no exaggeration to get tacos at 10p,,,,,,,,,,,,,,,,,,
The dumb people ran out of beef and then charged me extra for other options (chicken ,and steak),,,,,,,,,,,,,,,,,,
not even and offer to pull foward and I bring your food,,,,,,,,,,,,,,,,,,,
my girlfriend and our friend b ok th got there food , I just want the food I played for,which still hasn't been resolved or even contacted back and said we are sorry and you can come get the food you paid for at the least,00 burrito  to compensate for the $5,2nd We had 2 separate orders which the employee said it was fine and told us the price for each one as probably she is supposed to do,,,,,,,,,,,,,,,
Currently still waiting for my food to come,,,,,,,,,,,,,,,,,,,
And food wise,,,,,,,,,,,,,,,,,,,
The lettuce on the one taco I got was nasty,They must've used a different sauce or the beans out too long,lettuce isn't suppose to be soggy,when I got home I discovered that the grillers tasted,Cuz it just did not taste good,,,,,,,,,,,,,,,
no food coming out,my daughter saw the girl behind the counter out back picking out food ,,,,,,,,,,,,,,,,,,
ordering my food ,,,,,,,,,,,,,,,,,,,
It was 3am and I tried going to taco Cabana,It's supposedly a 24hr place but it wasn't open  however taco Bell (which was supposed to be closed) continued to take our orde,,,,,,,,,,,,,,,,,,
it said that the order was received and that the food would be prepared,I got my food ,,,,,,,,,,,,,,,,,,
Take away food Cold on being given it,,,,,,,,,,,,,,,,,,,
chicken,nacho cheese,we were told they were out of the ingredients, Maybe it was a terrible GM who didn't order the basic ingredients to their entire,,,,,,,,,,,,,,,,
I enjoyed visiting Taco Bell for breakfast they have a lot of good choices however I would love it if chicken was added to the breakfast menu or Turkey sausage was added to the breakfast menu I got an egg ,however I was charged for bacon and I didn't get bacon so that's disappointing if I could have the option of adding Turkey sausage even turkey bacon our chicken that will be wonderful,and cheese breakfast quesadilla ,,,,,,,,,,,,,,,,,
We went through drive to pick up some on-the-go food before heading out to meet friends,We saw someone that was dealing in food prep go up to the cashier with gloves on to help someone (he tapped on the cashiers screen at the indoor,register) and return back to the food prep,,,,,,,,,,,,,,,,,
not for the food ,,,,,,,,,,,,,,,,,,,
It took about 15 minutes for my food to come out,,,,,,,,,,,,,,,,,,,
The food wasn't even warm,Poor customer service and food,the Doritos locos taco was stale-ish,,,,,,,,,,,,,,,,,
I love ordering from the cheapo menu such as the 1/2 pound burrito ,3 crunchy taco meal taker,the shredded cheese can be sometimes dried out and the meat is probably a grade D,the lettuce is limpy,,,,,,,,,,,,,,,,
food is not cooked enough,,,,,,,,,,,,,,,,,,,
Then one employee opened one of the tacos to confirm it was correct,,,,,,,,,,,,,,,,,,,
People that work there are really friendly and the food is never that bad,,,,,,,,,,,,,,,,,,,
"like a 45 min drive through wait and only ""if"" you get your food it's not always what you ordered",,,,,,,,,,,,,,,,,,,
 I ordered two bean and cheese burritos-as is,and one bean and cheese burrito with NO onions,the beans were in liquid, Not like soft beans (like other,,,,,,,,,,,,,,,,
Same with my tacos,I never knew you could do that with the tacos so I was really happy,Make sure you got some hot nacho cheese on the side and throw it on your tacos ,I got the Mexican pizza and swapped out the meat for some beans,,,,,,,,,,,,,,,,
The food quality ,the food came out so poorly packaged that crunchy tacos were crushed ,and one was completely opened with contents spilled all over the other food,making those paper wrappers tear and the food inside became wet,,,,,,,,,,,,,,,,
The food is typical,Taco Bell food,TB corporate could produce better food,,,,,,,,,,,,,,,,,
There aren't many late night options for food,if you want late night food ,,,,,,,,,,,,,,,,,,
"the ""window timer"" in the drive through hit 24 minutes before we got our food",and my girlfriend and I both finished our food before the car behind us got their food,,,,,,,,,,,,,,,,,,
Gave me the option for chicken on my nachos ,,,,,,,,,,,,,,,,,,,
The watermelon freeze tasted like straight up medicine,,,,,,,,,,,,,,,,,,,
This Taco Bell is terrible clearly every one that works here Give no shits about there job at all they take forever and mess up even if you get a soft taco without lettuce but when you look at your taco there's gonna be lettuce on it lmao there not friendly at all and this Taco Bell will not be getting any more of my money the cheese on my chili cheese burrito wasn't even melted I'm throwing it away is getting hot food to much,,,,,,,,,,,,,,,,,,,
This was a carry out order and there were about 3 burritos ordered,One of the burritos was the Cheesy Bean ,and Rice burrito to accommodate a vegetarian,Got home and could not identify the Cheesy Bean burrito from the Beef burrito,When we did have everyone break their burritos,,,,,,,,,,,,,,,
We got our order and there was 1/2 the amount of meat as normal in our supreme tacos,Flat corn tortilla anything,,,,,,,,,,,,,,,,,,
I still don't have my items and my food has gotten cold,Manager comes back with my missing items and I noticed that my food,"I asked him politely if he could redo my meal since it had gotten cold and he said ""no because there is too much people here"" I reply ""but as a manager it's your duty to try and correct your error"" then he proceeds to tell me that he was not going to remake my food",no burrito,,,,,,,,,,,,,,,,
Ordered food inside at 8:24 ,got my food at 8:44,I see people standing around doing nothing behind the counter and a lobby full of people just waiting for their food,,,,,,,,,,,,,,,,,
 The food was mediocre at best ,and the Taco shells taste old plus the food wasn't that warm,,,,,,,,,,,,,,,,,,
Got a Crunchwrap supreme with no meat in it,,,,,,,,,,,,,,,,,,,
F'n trash they up-charged me on nachos and cheese ,,,,,,,,,,,,,,,,,,,
Sucks because this is the closest taco Bell to me ,,,,,,,,,,,,,,,,,,,
 20 minutes for a bean burrito,,,,,,,,,,,,,,,,,,,
Only got a half full container of nacho bell grande and ordered extra cheese which was not included,,,,,,,,,,,,,,,,,,,
I waited 5 min for new potatoes to cook and they give me 3 potatoes for the spicy potatoes tacos,,,,,,,,,,,,,,,,,,,
I order a bean burrito ONLY ,but it turned out that it had something more than just beans,It seemed like they either used the same spoon for beef and beans or else they realized it was suppose,to be beans ,and just added beans to the beef,,,,,,,,,,,,,,,
Great food,,,,,,,,,,,,,,,,,,,
To pay for food ,And she's in the background saying you only get some odd scoops of meat,The other had barely any mean/cheese on it,,,,,,,,,,,,,,,,,
get my food ,to lackluster food quality ,and a bean burrito,two soft tacos,I was given a medium Mountain Dew and a chicken quesadilla,those chicken nacho, chips they had at the time,and my toddler loves him a cheese roll up,Like with cheese,just the cheese quesadilla,"""So one cheese quesadilla",one cheese quesadilla ,and the cheese quesadilla,and a cheese roll up,,,,,,
The first time I went here the service was excellent - friendly and accurate with good food,,,,,,,,,,,,,,,,,,,
Two stars because once I do get the food it is usually hot,but I wish I could rate the food separate from the service,,,,,,,,,,,,,,,,,,
It's been 25 minutes since ordering my food  ,,,,,,,,,,,,,,,,,,,
and I wouldn't ever trust them to make my food during this p,,,,,,,,,,,,,,,,,,,
63 and patronizing explanation that it's a franchise and their prices may vary,,,,,,,,,,,,,,,,,,,
We get the food, Before removing the food out of the bag,We gobbled down the tacos ,,,,,,,,,,,,,,,,,
The food looks like it was left under a warmer all day,,,,,,,,,,,,,,,,,,,
I often have complicated orders with substituting meat for beans ,and removing the cheese,,,,,,,,,,,,,,,,,,
All i ask is NOOOOO sour cream,,,,,,,,,,,,,,,,,,,
the food is really fresh,,,,,,,,,,,,,,,,,,,
It's just that the food was cold, and tasted awful,,,,,,,,,,,,,,,,,,
I went for 2 six packs of the naked chicken chips,They thought the extra chicken roll ups they threw in would make up for their lateness ,,,,,,,,,,,,,,,,,,
Got home with my food ,,,,,,,,,,,,,,,,,,,
who helped me figure out a way to order nachos with just meat on them (no cheese,,,,,,,,,,,,,,,,,,,
I ordered through Uber eats and they served me expired food,The chicken smelt rotten like it got left out of the refrigerator for days before getting cooked,I also ordered a chicken ,and cheese melt ,and there was barely any cheese,,,,,,,,,,,,,,,
I think them for working on a Sunday evening to provide us with food ,,,,,,,,,,,,,,,,,,,
but I had a good experience in terms of food ,or even really good food,I had a seven-layer burrito, It's like KFC's Double Down: a chicken breast molded into taco shape,beans,and cheese, It actually held up really well as a vessel for the other ingredients,tasted good,,,,,,,,,,,,
It's rly good I like their beans a lot their lava sauce was dank ,,,,,,,,,,,,,,,,,,,
I'm rating this as a Taco Bell - I'm not giving their food 3 stars,,,,,,,,,,,,,,,,,,,
long wait times and terrible food remains consistent,One night I ordered 3 beef and cheese tacos through the drive through ,and got home to find that while they did give me 3 tacos,No meat,No cheese,the only ingredient in them was LETTUCE,,,,,,,,,,,,,,
they were soggy pieces of potato with warmish cheese sauce resembling the poop I took last,,,,,,,,,,,,,,,,,,,
Getting anything that's supposed to be crunchy to go is risky because the hard shell tacos,,,,,,,,,,,,,,,,,,,
 We love taco Tuesday,,,,,,,,,,,,,,,,,,,
or food quality,for the food,we got our food,we ordered three burritos , We were missing a burrito ,and another burrito was wrong,,,,,,,,,,,,,,
I work less than a mile from it and go only when I want cheap food,but was immediately waited on and the food is actually better,I finally went to Moe's right around the corner-,,,,,,,,,,,,,,,,,
Once we sit down our food comes (really quickly ,And I got the same thing again sometime later and it had a piece of chicken in it,Another time I buy pintos and cheese (beans with melted cheese on top,and hot sauce) and it looks like they took the cheese straight from the bag and slapped it on the hot beans,he orders it and i say that I'd like it to have half cheese after my brother ordered ,I taste the oni,,,,,,,,,,,,,,
The food is never prepared correctly,,,,,,,,,,,,,,,,,,,
I went there a few days ago and they put the guac in the very bottom of my burrito somehow,Tonight I decided to get the guac on the side and I get a cold VERY dry burrito with small, bits of cheese ,when I asked for no cheese,,,,,,,,,,,,,,,,
I paid for 6 Taco supreme and 2 crunchy tacos ,and I only found 3 taco supreme ,and 3 crunchy tacos,,,,,,,,,,,,,,,,,
Fast food, he took my order then disappeared as i waited quite a while to get my food,I havent been to Taco Bell in years but was craving tacos as i past by,i planned on getting three crunchy taco supremes ,but i noticed the stacked tacos whIch were onky,(Crunchy taco supremes $1,The crunchy taco supremes were totally broken,and the stacked was almost totally dEvoid of the cheese whiCh was supposed to be seepinG between the two layers,,,,,,,,,,,,
My food is correct,,,,,,,,,,,,,,,,,,,
63 and patronizing explanation that it's a franchise and their prices may vary,,,,,,,,,,,,,,,,,,,
We just bypassed our order after that wait and didn't even pick up our food,Not worth it to pay for the food after waiting for 30+ minutes,,,,,,,,,,,,,,,,,,
The sink hole at the end of the drive through is so wild I can't even get taco Bell cuz the lobby is closed ,If I want taco Bell I have to ruin my bumper going through this 4x4 course,I just wanted some tacos,I just want taco Bell ,but I guess I'll have to start getting taco trucks cuz at least I can navigate the terrain to get to them,,,,,,,,,,,,,,,
They also got our 3 soft taco order wrong,and gave us hard tacos,,,,,,,,,,,,,,,,,,
My daughter loves plain meat tacos with no lettuce ,and no cheese,,,,,,,,,,,,,,,,,,
I always check my food ,My food is always fresh,They also will add extra cheese to burritos if you ask with no extra,I can just order cheese and chips ,,,,,,,,,,,,,,,,
I've been to this location about 10 times and every time I wait for at least 30 minutes for my food,,,,,,,,,,,,,,,,,,,
the food is pretty good,On the tacos,The only downside was the chips on the nachos seemed a bit stale,sour cream) and the meat was warm,the toppings were all fresh and cold (cheese,,,,,,,,,,,,,,,
Always gets the order wrong and the attitude my God props to them for having that much attitude working at a taco Bell my Go,,,,,,,,,,,,,,,,,,,
I got my food , I parked and found that Evilyn had made yet another mistake 3 missing tacos out of an order of 3 tacos ,,,,,,,,,,,,,,,,,,
